history_id,job_no,stage,entered_at,exited_at,duration_hours,note
d1e418b8-7d32-747e-4b24-cee8356fdf8f,4471,received,2026-08-06 00:00:00,2026-08-06 03:00:00,3.0,
b4adf013-928b-307b-0128-708f6eea5516,4471,prepress,2026-08-06 03:00:00,2026-08-06 15:00:00,12.0,
e5e7392c-39be-4d55-036f-f6a68d564d6e,4471,proofing,2026-08-06 15:00:00,2026-08-06 21:00:00,6.0,
16ce2b5a-8630-0b3a-1775-88c1b0b9a3fd,4471,awaiting_approval,2026-08-06 21:00:00,,,waiting on customer
cbacfc9e-8180-13d6-100a-abd07806908c,4301,received,2026-05-05 00:00:00,2026-05-05 01:15:32.011467,1.26,
605d37af-0066-91b8-dbc2-f1ec0d43b644,4301,prepress,2026-05-05 01:15:32.011467,2026-05-05 17:25:46.327029,16.17,
b5c6f21c-997a-966e-5bb8-7ce9de940df8,4301,proofing,2026-05-05 17:25:46.327029,2026-05-06 09:36:00.642591,16.17,
8ca3a0b1-c5c4-85b1-7e1d-ae53aafd9bad,4301,awaiting_approval,2026-05-06 09:36:00.642591,2026-05-07 11:30:32.069675,25.91,waiting on customer
5bc317a7-b66a-2ebd-b79d-f833c918b025,4301,plating,2026-05-07 11:30:32.069675,2026-05-08 03:40:46.385237,16.17,
cb20f564-014e-8d83-7f11-798bf194c9b1,4301,on_press,2026-05-08 03:40:46.385237,2026-05-08 19:51:00.700799,16.17,
a441f708-ae81-73a8-3327-cdf651257a0d,4301,finishing,2026-05-08 19:51:00.700799,2026-05-09 12:01:15.016361,16.17,
20f6fe74-9321-2eed-263f-1364cdab4f03,4301,dispatched,2026-05-09 12:01:15.016361,2026-05-10 04:11:29.331923,16.17,
c710a326-6882-91a6-2abc-6b3e846ea698,4301,delivered,2026-05-10 04:11:29.331923,,,
ea6cc3f1-30d3-e0c2-afd9-99f4f8a9ed9e,4302,received,2026-06-06 00:00:00,2026-06-06 01:41:47.254465,1.7,
4e72caee-9199-65ff-9bf5-8bc678d371e4,4302,prepress,2026-06-06 01:41:47.254465,2026-06-06 17:30:07.129620,15.81,
