proof_id,job_no,version,sent_at,status,approved_at,approved_by_contact_id,proof_url
1cfa26bb-a0d1-8983-aaed-7a973a59c7e4,4471,1,2026-08-08 00:00:00,sent,,,https://proofs.ramcoprinting.example/4471-v1.pdf
261c4db2-859f-cd86-bd7c-3d2d19b59a9f,4301,1,2026-05-05 07:25:41.578709,approved,2026-05-06 09:20:13.005793,2c995d46-5713-ab8f-9d1a-1c594a8a812d,https://proofs.ramcoprinting.example/4301-v1.pdf
42bf8d19-625f-4a15-4bc4-3caf515e33a5,4302,1,2026-06-06 10:19:21.310816,approved,2026-06-07 23:52:17.356033,7ab62628-711f-3b4f-a641-93f0eee77be0,https://proofs.ramcoprinting.example/4302-v1.pdf
1a9d5baa-3473-71ef-8631-673cfa6b27de,4303,1,2026-03-02 01:25:02.761604,approved,2026-03-04 13:04:54.396939,22ea34e6-8e07-f76d-1702-91d1ba5c03b1,https://proofs.ramcoprinting.example/4303-v1.pdf
2853768d-09b0-2b31-cb19-b7198019f146,4304,1,2026-06-08 13:56:25.818196,approved,2026-06-09 17:25:31.183086,d52d6b71-af68-8d69-44eb-89baadef9f17,https://proofs.ramcoprinting.example/4304-v1.pdf
b7896659-5bd7-5b41-1f0d-3d2696c1bfb6,4305,1,2026-01-26 14:54:05.446193,approved,2026-01-28 06:24:38.238838,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,https://proofs.ramcoprinting.example/4305-v1.pdf
d7c4d269-6a0e-eae1-37cf-864fcf7f7f1b,4306,1,2026-07-01 21:08:02.946340,approved,2026-07-02 01:13:10.763442,97452430-fe70-61a6-3bde-a150ce983640,https://proofs.ramcoprinting.example/4306-v1.pdf
22fe57ae-683e-89cf-834a-1070f6c4e40b,4307,1,2025-12-11 09:33:49.182214,approved,2025-12-13 15:21:36.226948,2f03c25f-fe75-f120-6346-1fb694fcd7a0,https://proofs.ramcoprinting.example/4307-v1.pdf
2df29020-6d01-1e52-15d6-47f62725413d,4308,1,2026-05-18 21:32:22.628764,approved,2026-05-20 00:34:53.031443,0d06d344-8393-6f82-5dab-a938201166ed,https://proofs.ramcoprinting.example/4308-v1.pdf
a336635b-8a70-5803-2060-237f5d2b84be,4309,1,2026-02-27 15:37:17.601998,approved,2026-02-28 18:41:38.614405,38979c95-6fbf-b1fe-8679-04df08b6f2fa,https://proofs.ramcoprinting.example/4309-v1.pdf
398eff2b-fff5-727f-1129-810754ed2226,4310,1,2026-01-08 05:41:50.382070,approved,2026-01-13 09:30:00.751017,16a93772-4fc4-4963-16f2-2f40bba41006,https://proofs.ramcoprinting.example/4310-v1.pdf
dd11c6ac-a5c7-ffb9-a70c-b5c3938628ec,4311,1,2026-04-19 12:00:18.935409,approved,2026-04-22 14:16:52.179937,59f52611-304b-429a-3991-6cfa1991d51c,https://proofs.ramcoprinting.example/4311-v1.pdf
e1d414ac-a4f7-5761-10f0-f5551c2bf1bc,4312,1,2025-12-02 04:27:32.149329,approved,2025-12-03 09:38:18.531419,2f03c25f-fe75-f120-6346-1fb694fcd7a0,https://proofs.ramcoprinting.example/4312-v1.pdf
b7008c8c-6354-9166-2798-101ae1497a6c,4313,1,2026-05-03 08:48:06.516075,approved,2026-05-06 14:03:32.111096,91bc18f7-c9a7-df36-290a-1d75df00ec35,https://proofs.ramcoprinting.example/4313-v1.pdf
6b5ee65f-49de-f16c-f026-df24212ae480,4314,1,2026-03-13 19:54:08.712665,approved,2026-03-17 00:22:25.285767,5faee57e-5c1f-e2ff-1a10-8a11189b8a22,https://proofs.ramcoprinting.example/4314-v1.pdf
