conversation_id,tenant_id,started_at,primary_intent,hours_bucket
9f83b514-ae4f-8d06-b554-a3473bdca0ea,safarilink,2026-07-21T17:03:00,destinations,in_hours
c3a02b03-e7aa-4f50-6909-82b67955b24f,safarilink,2026-07-25T18:46:00,check_in,outside_hours
449d8789-1d56-4f82-3a3f-660c409c3a77,safarilink,2026-07-19T14:22:00,baggage,in_hours
38602a9d-aed7-f916-a4f2-32a08d75c663,safarilink,2026-08-01T05:47:00,baggage,outside_hours
c6631d4b-90cc-bc30-e0f9-7988cf3b910c,safarilink,2026-07-24T17:56:00,check_in,in_hours
6fb98b19-cb98-4c68-76eb-edc3cb3c1753,safarilink,2026-08-10T23:49:00,booking_lookup,outside_hours
e230fdb1-7fbb-73bf-86c5-dab474345be8,safarilink,2026-07-24T10:33:00,booking_lookup,in_hours
6b5b209a-f630-5540-85f8-43b3431c2729,safarilink,2026-07-26T12:47:00,charters,in_hours
28537480-a91d-2355-d93e-9a699add234c,safarilink,2026-07-19T15:10:00,schedules,in_hours
9dcef9fe-0d23-4329-d34f-6a50b63787f9,safarilink,2026-08-09T16:28:00,booking_lookup,in_hours
56c19565-69e8-837d-5fe1-fe6e4d543de2,safarilink,2026-07-22T08:24:00,destinations,in_hours
d61c1793-8d9d-8705-8347-5a4bd5a777f9,safarilink,2026-07-17T03:48:00,destinations,outside_hours
f7e4cd9e-9ff7-b746-22ae-8a4743f30562,safarilink,2026-07-15T14:47:00,changes,in_hours
df4081f2-5fe0-ca30-4d2a-4a163c1dde07,safarilink,2026-08-03T02:13:00,schedules,outside_hours
d7f1ce91-eb91-cc4c-15ab-f19aa4ea328f,safarilink,2026-08-09T11:17:00,changes,in_hours
c5e2ba09-3901-7a7f-a20e-31628e08fce0,safarilink,2026-08-07T17:51:00,schedules,in_hours
470b9f92-562b-c83d-0f75-74b39f4c72be,safarilink,2026-07-15T14:27:00,baggage,in_hours
125e92e1-09b2-831c-212e-b4b80e734334,safarilink,2026-07-29T20:46:00,baggage,outside_hours
cedb0959-ad33-84cd-f10c-22d1f0afb335,safarilink,2026-07-31T12:26:00,destinations,in_hours
a1bd6147-1e56-45ca-c61e-c07fcc4ca9db,safarilink,2026-07-23T06:26:00,charters,outside_hours
51d557bc-ac16-036c-cae5-82d8e1cffc42,safarilink,2026-07-30T17:24:00,changes,in_hours
a3769dc9-38a8-5a8f-f585-463122c8508c,safarilink,2026-07-24T19:52:00,baggage,outside_hours
e876fabe-8724-67a1-455b-c35de4a97e44,safarilink,2026-07-27T02:02:00,check_in,outside_hours
598fcc1f-15b7-eacf-5afd-ccf6d3da10e3,safarilink,2026-08-05T16:29:00,booking_lookup,in_hours
e1f08358-bb5b-df36-0541-11a919f88a96,safarilink,2026-07-15T23:21:00,booking_lookup,outside_hours
5d55c8da-d827-c9fb-c60c-aa3a0d33345f,safarilink,2026-07-15T18:54:00,booking_lookup,outside_hours
