fare_id,route_id,fare_class,price,currency,is_refundable,change_fee,conditions
4f0433c1-1076-1402-f9a4-2c67c7c7fa4f,WIL-OLX,saver,167.0,USD,False,40,
9474599b-4f6e-71d8-db19-757edd82f551,WIL-OLX,flex,237.14,USD,True,0,
826cfd9a-d627-21a3-627a-e14290974e4b,WIL-OLX,resident,113.56,USD,False,40,Resident fare - valid Kenyan ID required at check-in
e66db22a-790d-a6fd-4198-593aa8051c98,OLX-WIL,saver,167.0,USD,False,40,
73ec3661-0f12-e305-c068-d12b772aca08,OLX-WIL,flex,237.14,USD,True,0,
5234ada7-76dd-ee3b-c158-6d1e18573f69,OLX-WIL,resident,113.56,USD,False,40,Resident fare - valid Kenyan ID required at check-in
d9531637-f992-c842-6e65-45a86f95bd72,WIL-KEU,saver,175.0,USD,False,40,
dcf8b0cd-8e7f-caeb-72f0-5ee2fbb66e65,WIL-KEU,flex,248.5,USD,True,0,
c52774a4-799d-bdb7-7f7f-d184d7aa808f,WIL-KEU,resident,119.0,USD,False,40,Resident fare - valid Kenyan ID required at check-in
ba83344e-18f8-220c-0f73-80fec4ba8a6a,KEU-WIL,saver,175.0,USD,False,40,
f090e46d-1b58-4dd1-cf46-3b7f8a252070,KEU-WIL,flex,248.5,USD,True,0,
a176ef1d-8900-ebca-50ee-83a21ed3838b,KEU-WIL,resident,119.0,USD,False,40,Resident fare - valid Kenyan ID required at check-in
2e45679e-7194-63c1-18c5-7089abe5a389,WIL-MRE,saver,183.0,USD,False,40,
714e7220-a2e1-ee85-811d-2325377bb66b,WIL-MRE,flex,259.86,USD,True,0,
bb714b23-4fcd-2a1f-7b28-58e59ace9969,WIL-MRE,resident,124.44,USD,False,40,Resident fare - valid Kenyan ID required at check-in
c9b5fb1a-e678-d351-f273-067e9bd31c06,MRE-WIL,saver,183.0,USD,False,40,
fa361b44-38fa-7f52-14d9-63840569a59b,MRE-WIL,flex,259.86,USD,True,0,
f627ae9c-6cd8-b9f9-47b9-588be88682a9,MRE-WIL,resident,124.44,USD,False,40,Resident fare - valid Kenyan ID required at check-in
8cff67e0-7c06-6f6b-af4a-e71e49eae3b7,WIL-KTJ,saver,175.0,USD,False,40,
e75a9130-bf33-004a-4f8d-55e6f1296e51,WIL-KTJ,flex,248.5,USD,True,0,
fb242a4a-2ec0-6ef9-403c-0b62415a3cfb,WIL-KTJ,resident,119.0,USD,False,40,Resident fare - valid Kenyan ID required at check-in
7f7e0bd1-7b26-fef8-7990-3d6b1fa1e5df,KTJ-WIL,saver,175.0,USD,False,40,
56a7e507-18e4-1858-050c-ed77febc7d01,KTJ-WIL,flex,248.5,USD,True,0,
a986319f-cc2a-c4c3-d8cc-ec657f90dd3b,KTJ-WIL,resident,119.0,USD,False,40,Resident fare - valid Kenyan ID required at check-in
3b87a074-457f-8323-db02-7ee3879a4436,WIL-MNA,saver,175.0,USD,False,40,
9970173e-8bef-b37a-9234-2fd2da3ae4f7,WIL-MNA,flex,248.5,USD,True,0,
d62d85d1-b60d-ef85-f843-aeb021ff1826,WIL-MNA,resident,119.0,USD,False,40,Resident fare - valid Kenyan ID required at check-in
344c4d11-ce34-da8f-ca93-07225509753d,MNA-WIL,saver,175.0,USD,False,40,
96d39d49-491f-06f3-8a64-99f0c170d8b2,MNA-WIL,flex,248.5,USD,True,0,
37d49916-9af5-9c6d-bd20-f07e6296965d,MNA-WIL,resident,119.0,USD,False,40,Resident fare - valid Kenyan ID required at check-in
9666e162-957c-a5d7-0ba4-dbd2b2bb46fa,WIL-OSE,saver,171.8,USD,False,40,
e26ee1f7-a0d2-ddc3-1d7c-c141c90b7051,WIL-OSE,flex,243.96,USD,True,0,
afaf1cab-866f-7b6c-e4c8-6321e847929b,WIL-OSE,resident,116.82,USD,False,40,Resident fare - valid Kenyan ID required at check-in
d7ca2f04-2678-9b1e-a030-33124db4089c,OSE-WIL,saver,171.8,USD,False,40,
9931860d-ebdc-f0cb-69e5-4bcf1c2111f2,OSE-WIL,flex,243.96,USD,True,0,
45a8c9fe-bf49-9eb9-b377-dd97dc40e0f3,OSE-WIL,resident,116.82,USD,False,40,Resident fare - valid Kenyan ID required at check-in
58805d0e-7bd4-6015-fd13-2914ffe9b7db,WIL-ASV,saver,159.0,USD,False,40,
410ffda7-0d01-2b95-e0e2-5e13830d08e2,WIL-ASV,flex,225.78,USD,True,0,
889ea2b3-f716-c18b-149e-bd6906351d55,WIL-ASV,resident,108.12,USD,False,40,Resident fare - valid Kenyan ID required at check-in
f80e2045-a5cc-88ad-5a07-6c3ec094dd42,ASV-WIL,saver,159.0,USD,False,40,
