order_line_id,order_id,sku,tenant_id,qty,unit_price,line_total
1b120aef-1962-a3e7-1015-97605c347880,SO-2001,HP-CF226A,sai-ke,4,7742.0,30968.0
6a82f170-68f3-3ebe-596a-ed7f0d6020d4,SO-2001,BRO-TN2421,sai-ke,2,4905.64,9811.28
255eae18-3c75-0002-c17f-9d8514893f54,SO-2001,OFP-A4-80,sai-ke,5,575.93,2879.65
149f892f-6199-1f5f-25ad-9603c71e4ade,SO-2002,HP-CF226A,sai-ke,4,7742.0,30968.0
10aa9b82-46d8-15d5-94c6-054137031391,SO-2002,BRO-TN2421,sai-ke,2,4905.64,9811.28
9c9b3d80-d73a-3fba-04fc-afae0ba2d4d9,SO-2002,OFP-A4-80,sai-ke,5,575.93,2879.65
059dca24-1a40-ea8a-49aa-2c734e39941c,SO-2003,HP-CF226A,sai-ke,4,7742.0,30968.0
df01319c-2878-a036-eed3-7ed975f7abc3,SO-2003,BRO-TN2421,sai-ke,2,4905.64,9811.28
f8a289a8-ba3a-7113-741e-5fe5056ac984,SO-2003,OFP-A4-80,sai-ke,5,575.93,2879.65
4a8acfcf-311c-bd0e-8f3b-0cff5f656518,SO-2004,HP-CF226A,sai-ke,4,7742.0,30968.0
ec74211f-d26c-9263-d551-8391f7ff4676,SO-2004,BRO-TN2421,sai-ke,2,4905.64,9811.28
b42b1d4d-2c4c-ffcb-597d-ffa90d48dda6,SO-2004,OFP-A4-80,sai-ke,5,575.93,2879.65
3247d6d0-1d22-e35d-3ea4-2abadc525323,SO-2005,HP-CF226A,sai-ke,4,7742.0,30968.0
12b78013-187c-e965-5c20-73ae1c463072,SO-2005,BRO-TN2421,sai-ke,2,4905.64,9811.28
55a33418-7c39-5e65-8046-02c42c516f60,SO-2005,OFP-A4-80,sai-ke,5,575.93,2879.65
b1e89781-fc0e-10b4-906a-979d75c7cdb3,SO-2006,HP-CF226A,sai-ke,4,7742.0,30968.0
cdf0b7d8-c559-21e5-2f4b-cb2063d292af,SO-2006,BRO-TN2421,sai-ke,2,4905.64,9811.28
d034bcb8-c8e5-9111-7c91-4997f286a446,SO-2006,OFP-A4-80,sai-ke,5,575.93,2879.65
8c87258f-cdbc-e650-ab73-2f82bd04215c,SO-2007,HP-CF226A,sai-ke,4,7742.0,30968.0
